,area,bhk,bath,location,price
0,800.0,1.0,2.0,Rohini,65.0
2,950.0,2.0,2.0,Rohini,155.0
3,600.0,1.0,2.0,Rohini,42.0
4,650.0,2.0,2.0,Rohini,62.0
5,1300.0,4.0,3.0,Rohini,155.0
9,1300.0,4.0,4.0,Rohini,150.0
11,870.0,1.0,2.0,Rohini,77.0
12,630.0,2.0,2.0,Rohini,55.0
14,344.0,1.0,2.0,Rohini,33.1
16,550.0,1.0,2.0,Rohini,45.0
17,1100.0,1.0,3.0,Rohini,170.0
18,1150.0,3.0,3.0,Rohini,250.0
19,650.0,2.0,2.0,Rohini,60.0
20,850.0,2.0,2.0,Rohini,110.0
21,900.0,1.0,2.0,Rohini,45.0
22,431.0,1.0,1.0,Rohini,53.0
23,900.0,2.0,2.0,Rohini,105.0
24,915.0,2.0,2.0,Rohini,120.0
26,800.0,1.0,2.0,Rohini,70.0
27,500.0,1.0,1.0,Rohini,34.0
29,2160.0,4.0,4.0,Rohini,210.0
30,1500.0,1.0,2.0,Lajpat Nagar,135.0
31,800.0,2.0,2.0,Lajpat Nagar,150.0
32,900.0,2.0,2.0,Lajpat Nagar,105.0
33,1080.0,3.0,2.0,Lajpat Nagar,225.0
34,750.0,2.0,2.0,Lajpat Nagar,136.0
35,1450.0,3.0,3.0,Lajpat Nagar,300.0
36,900.0,2.0,2.0,Lajpat Nagar,135.0
37,810.0,2.0,2.0,Lajpat Nagar,89.1
38,1350.0,3.0,4.0,Lajpat Nagar,250.0
39,1710.0,3.0,3.0,Lajpat Nagar,260.0
40,1650.0,3.0,3.0,Lajpat Nagar,300.0
41,1280.0,2.0,2.0,Lajpat Nagar,125.0
42,1260.0,3.0,3.0,Lajpat Nagar,210.0
43,1130.0,2.0,2.0,Lajpat Nagar,78.0
44,600.0,1.0,2.0,Lajpat Nagar,115.0
45,850.0,2.0,2.0,Lajpat Nagar,115.0
46,1500.0,3.0,3.0,Lajpat Nagar,260.0
47,900.0,2.0,2.0,Lajpat Nagar,130.0
48,1000.0,3.0,3.0,Lajpat Nagar,220.0
49,900.0,2.0,2.0,Lajpat Nagar,158.0
50,2925.0,4.0,4.0,Lajpat Nagar,575.0
51,900.0,2.0,2.0,Lajpat Nagar,100.0
52,1600.0,3.0,3.0,Lajpat Nagar,300.0
53,1143.0,3.0,3.0,Lajpat Nagar,220.0
54,1150.0,3.0,3.0,Lajpat Nagar,240.0
55,1500.0,3.0,3.0,Lajpat Nagar,315.0
56,850.0,2.0,2.0,Lajpat Nagar,146.0
58,890.0,2.0,2.0,Lajpat Nagar,83.0
