,area,bath,price,location,bhk
0,1056.0,2.0,39.07,Alandi Road,2
1,2894.0,4.0,245.0,Alandi Road,4
2,1084.0,2.0,50.0,Alandi Road,2
3,1230.0,2.0,80.0,Alandi Road,2
4,4046.0,4.0,445.0,Alandi Road,4
5,1750.0,3.0,130.0,Alandi Road,3
6,995.0,2.0,41.0,Alandi Road,2
9,1360.0,2.0,95.0,Alandi Road,2
10,1040.0,2.0,50.0,Alandi Road,2
11,1655.0,3.0,86.06,Alandi Road,3
13,2790.0,5.0,198.0,Alandi Road,4
14,1028.0,2.0,42.0,Alandi Road,2
15,1300.0,2.0,57.0,Alandi Road,2
16,1564.0,3.0,101.0,Alandi Road,3
17,1012.0,2.0,59.0,Alandi Road,2
18,2519.0,5.0,185.0,Alandi Road,4
19,1520.0,2.0,62.0,Alandi Road,2
20,1550.0,3.0,78.0,Alandi Road,3
21,950.0,2.0,46.5,Alandi Road,2
22,1280.0,2.0,56.0,Alandi Road,2
23,1350.0,2.0,79.0,Alandi Road,2
24,1500.0,2.0,85.0,Alandi Road,3
25,3250.0,4.0,230.0,Alandi Road,4
26,1150.0,2.0,77.5,Alandi Road,3
27,1080.0,2.0,75.0,Alandi Road,3
28,1743.0,3.0,93.25,Alandi Road,3
29,984.0,2.0,45.91,Alandi Road,2
30,4500.0,9.0,166.0,Alandi Road,9
31,1225.0,2.0,55.0,Alandi Road,2
32,1100.0,2.0,50.0,Alandi Road,2
33,1210.0,2.0,75.0,Alandi Road,2
34,1250.0,2.0,72.0,Alandi Road,2
35,900.0,2.0,42.0,Alandi Road,2
36,1075.0,2.0,52.43,Alandi Road,2
37,1265.0,2.0,82.0,Alandi Road,2
38,900.0,2.0,41.0,Alandi Road,2
40,1100.0,2.0,48.0,Alandi Road,2
41,1850.0,3.0,90.0,Alandi Road,3
43,1475.0,2.0,74.0,Alandi Road,3
44,1265.0,2.0,65.0,Alandi Road,3
45,1300.0,2.0,98.0,Alandi Road,2
46,937.0,2.0,35.0,Alandi Road,2
47,1000.0,2.0,58.0,Alandi Road,2
48,700.0,2.0,43.0,Alandi Road,2
49,1265.0,2.0,46.6,Alandi Road,2
50,1008.0,2.0,32.25,Alandi Road,2
51,2072.0,4.0,155.0,Alandi Road,3
53,7000.0,4.0,550.0,Alandi Road,4
